health_region_code,year,measure_type,live_births,neonatal_deaths,infant_deaths,under5_deaths,maternal_deaths,neonatal_per_1000,infant_per_1000,under5_per_1000,maternal_per_100000
12003,2010,residence,5500,51,81,97,2,9.27272727272727,14.7272727272727,17.6363636363636,36.3636363636364
12003,2015,occurrence,5547,52,83,96,3,9.37443663241392,14.963043086353,17.3066522444565,54.0832882639265
12003,2015,residence,5274,65,107,121,3,12.3246113007205,20.2882062950322,22.9427379598028,56.8828213879409
13001,2000,occurrence,44067,954,1423,1681,35,21.6488528831098,32.2917375814101,38.1464588013706,79.424512673883
13001,2000,residence,43967,923,1369,1609,33,20.9930174903905,31.1369891054655,36.5956285395865,75.0562922191644
13001,2005,occurrence,43384,510,863,1037,26,11.7554858934169,19.8921261294486,23.9028213166144,59.9299280840863
13001,2005,residence,43205,486,814,977,23,11.2486980673533,18.8404119893531,22.6131234810786,53.2345793310959
13001,2010,occurrence,45199,450,728,897,46,9.9559724772672,16.10655102989,19.8455718046859,101.772163100954
13001,2010,residence,44807,404,652,802,39,9.0164483228067,14.551297788292,17.8989889972549,87.039971433035
13001,2015,occurrence,49080,499,773,923,33,10.1670741646292,15.7497962510187,18.8060309698452,67.2371638141809
13001,2015,residence,48374,446,684,814,26,9.21982883367098,14.13982717989,16.8272212345475,53.7478810931492
13002,2000,occurrence,4920,42,92,118,3,8.53658536585366,18.6991869918699,23.9837398373984,60.9756097560976
13002,2000,residence,4977,54,116,149,3,10.8499095840868,23.3072131806309,29.9377134820173,60.2772754671489
13002,2005,occurrence,5866,30,59,75,1,5.11421752471872,10.0579611319468,12.7855438117968,17.0473917490624
13002,2005,residence,5927,41,82,101,2,6.91749620381306,13.8349924076261,17.0406613801249,33.7438839210393
13002,2010,occurrence,5269,38,59,71,2,7.21199468589865,11.1975706965269,13.4750427026001,37.9578667678876
13002,2010,residence,5385,53,88,105,7,9.84215413184772,16.3416898792943,19.4986072423398,129.990714948932
13002,2015,occurrence,5327,25,46,56,2,4.69307302421626,8.63525436455791,10.5124835742444,37.5445841937301
13002,2015,residence,5644,43,76,91,4,7.61871013465627,13.4656272147413,16.1233167965982,70.8717221828491
13003,2000,occurrence,2748,16,25,31,0,5.82241630276565,9.09752547307133,11.2809315866084,0
13003,2000,residence,2755,17,27,34,0,6.17059891107078,9.80036297640653,12.3411978221416,0
13003,2005,occurrence,3227,21,36,46,1,6.50759219088937,11.1558723272389,14.254725751472,30.9885342423303
13003,2005,residence,3312,30,51,66,1,9.05797101449275,15.3985507246377,19.9275362318841,30.1932367149758
13003,2010,occurrence,2806,27,28,36,0,9.62223806129722,9.97861724875267,12.8296507483963,0
13003,2010,residence,2983,35,44,54,1,11.733154542407,14.7502514247402,18.1025812939993,33.5232986925914
13003,2015,occurrence,3025,25,30,39,2,8.26446280991735,9.91735537190083,12.8925619834711,66.1157024793388
13003,2015,residence,3209,32,45,60,3,9.97195387971331,14.0230601433468,18.6974135244625,93.4870676223123
13004,2000,occurrence,2630,14,43,53,0,5.32319391634981,16.3498098859316,20.1520912547529,0
13004,2000,residence,2664,20,52,64,0,7.50750750750751,19.5195195195195,24.024024024024,0
13004,2005,occurrence,3318,29,51,67,1,8.74020494273659,15.370705244123,20.1928872814949,30.1386377335744
13004,2005,residence,3343,31,57,74,1,9.27310798683817,17.0505533951541,22.1358061621298,29.9132515704457
13004,2010,occurrence,3156,18,23,29,0,5.70342205323194,7.28770595690748,9.18884664131812,0
13004,2010,residence,3259,32,42,51,0,9.81896287204664,12.8873887695612,15.6489720773243,0
13004,2015,occurrence,2991,18,25,28,0,6.01805416248746,8.35840855901036,9.36141758609161,0
13004,2015,residence,3162,30,41,44,4,9.4876660341556,12.966476913346,13.9152435167615,126.502213788741
13005,2000,occurrence,4490,37,74,93,11,8.24053452115813,16.4810690423163,20.7126948775056,244.988864142539
13005,2000,residence,4459,37,75,95,11,8.29782462435524,16.8199147790985,21.305225386858,246.692083426777
13005,2005,occurrence,4963,48,80,106,1,9.67156961515213,16.1192826919202,21.3580495667943,20.1491033649003
13005,2005,residence,4947,48,86,115,2,9.70285021224985,17.3842732969476,23.2464119668486,40.428542551041
13005,2010,occurrence,4798,36,59,73,1,7.50312630262609,12.2967903293039,15.2146727803251,20.8420175072947
13005,2010,residence,4778,41,69,93,1,8.58099623273336,14.4411887819171,19.4642109669318,20.9292591042277
13005,2015,occurrence,4876,55,70,81,3,11.2797374897457,14.3560295324036,16.6119770303528,61.5258408531583
13005,2015,residence,4870,59,81,95,3,12.1149897330596,16.6324435318275,19.5071868583162,61.6016427104723
13006,2000,occurrence,1576,3,18,32,4,1.90355329949239,11.4213197969543,20.3045685279188,253.807106598985
13006,2000,residence,1592,3,19,38,4,1.88442211055276,11.9346733668342,23.8693467336683,251.256281407035
13006,2005,occurrence,2091,19,30,40,0,9.08656145384983,14.3472022955524,19.1296030607365,0
13006,2005,residence,2158,19,34,47,0,8.80444856348471,15.7553290083411,21.7794253938832,0
13006,2010,occurrence,2076,14,23,31,2,6.74373795761079,11.0789980732177,14.9325626204239,96.3391136801541
13006,2010,residence,2222,18,33,46,3,8.1008100810081,14.8514851485149,20.7020702070207,135.013501350135
13006,2015,occurrence,2170,22,29,34,3,10.1382488479263,13.3640552995392,15.668202764977,138.248847926267
13006,2015,residence,2386,28,47,53,4,11.7351215423303,19.6982397317687,22.2129086336966,167.644593461861
13007,2000,occurrence,1584,19,41,56,4,11.9949494949495,25.8838383838384,35.3535353535354,252.525252525253
13007,2000,residence,1646,19,42,56,4,11.543134872418,25.5164034021871,34.0218712029162,243.013365735115
