municipality_code,year,measure_type,municipality_name,live_births,neonatal_deaths,infant_deaths,under5_deaths,maternal_deaths,neonatal_per_1000,infant_per_1000,under5_per_1000,maternal_per_100000
110013,2015,occurrence,Machadinho D'Oeste,302,1,2,2,0,3.3112582781457,6.62251655629139,6.62251655629139,0
110013,2015,residence,Machadinho D'Oeste,480,8,11,13,0,16.6666666666667,22.9166666666667,27.0833333333333,0
110014,2000,occurrence,Nova Brasilândia D'Oeste,534,5,6,6,0,9.36329588014981,11.2359550561798,11.2359550561798,0
110014,2000,residence,Nova Brasilândia D'Oeste,563,6,7,7,0,10.6571936056838,12.4333925399645,12.4333925399645,0
110014,2005,occurrence,Nova Brasilândia D'Oeste,352,2,3,3,0,5.68181818181818,8.52272727272727,8.52272727272727,0
110014,2005,residence,Nova Brasilândia D'Oeste,387,4,6,6,0,10.3359173126615,15.5038759689922,15.5038759689922,0
110014,2010,occurrence,Nova Brasilândia D'Oeste,294,3,3,3,0,10.2040816326531,10.2040816326531,10.2040816326531,0
110014,2010,residence,Nova Brasilândia D'Oeste,325,7,8,8,0,21.5384615384615,24.6153846153846,24.6153846153846,0
110014,2015,occurrence,Nova Brasilândia D'Oeste,200,0,0,0,1,0,0,0,500
110014,2015,residence,Nova Brasilândia D'Oeste,256,2,2,2,0,7.8125,7.8125,7.8125,0
110015,2000,occurrence,Ouro Preto do Oeste,1508,17,23,25,1,11.2732095490716,15.2519893899204,16.57824933687,66.3129973474801
110015,2000,residence,Ouro Preto do Oeste,960,18,25,27,1,18.75,26.0416666666667,28.125,104.166666666667
110015,2005,occurrence,Ouro Preto do Oeste,894,6,9,11,2,6.71140939597315,10.0671140939597,12.3042505592841,223.713646532438
110015,2005,residence,Ouro Preto do Oeste,510,5,11,14,0,9.80392156862745,21.5686274509804,27.4509803921569,0
110015,2010,occurrence,Ouro Preto do Oeste,1089,3,3,5,0,2.75482093663912,2.75482093663912,4.59136822773186,0
110015,2010,residence,Ouro Preto do Oeste,655,4,8,10,0,6.10687022900763,12.2137404580153,15.2671755725191,0
110015,2015,occurrence,Ouro Preto do Oeste,1176,1,3,3,0,0.850340136054422,2.55102040816327,2.55102040816327,0
110015,2015,residence,Ouro Preto do Oeste,767,3,7,7,0,3.91134289439374,9.1264667535854,9.1264667535854,0
110018,2000,occurrence,Pimenta Bueno,943,7,12,15,0,7.42311770943796,12.7253446447508,15.9066808059385,0
110018,2000,residence,Pimenta Bueno,624,6,12,14,0,9.61538461538461,19.2307692307692,22.4358974358974,0
110018,2005,occurrence,Pimenta Bueno,838,7,10,11,0,8.35322195704057,11.9331742243437,13.126491646778,0
110018,2005,residence,Pimenta Bueno,624,5,9,11,0,8.01282051282051,14.4230769230769,17.6282051282051,0
110018,2010,occurrence,Pimenta Bueno,805,6,7,8,1,7.45341614906832,8.69565217391304,9.93788819875776,124.223602484472
110018,2010,residence,Pimenta Bueno,604,10,10,12,1,16.5562913907285,16.5562913907285,19.8675496688742,165.562913907285
110018,2015,occurrence,Pimenta Bueno,867,0,0,0,0,0,0,0,0
110018,2015,residence,Pimenta Bueno,594,9,10,11,0,15.1515151515152,16.8350168350168,18.5185185185185,0
110020,2000,occurrence,Porto Velho,8325,222,299,343,1,26.6666666666667,35.9159159159159,41.2012012012012,12.012012012012
110020,2000,residence,Porto Velho,8359,220,294,336,1,26.3189376719703,35.1716712525422,40.1961957171911,11.9631534872592
110020,2005,occurrence,Porto Velho,7868,196,275,322,9,24.9110320284698,34.9517031011693,40.9252669039146,114.387391967463
110020,2005,residence,Porto Velho,7670,141,196,231,7,18.3833116036506,25.5541069100391,30.1173402868318,91.264667535854
110020,2010,occurrence,Porto Velho,8943,211,307,349,12,23.5938723023594,34.3285251034329,39.0249357039025,134.183160013418
110020,2010,residence,Porto Velho,8089,120,176,206,6,14.8349610582272,21.7579428853999,25.4666831499567,74.1748052911361
110020,2015,occurrence,Porto Velho,10336,195,287,312,10,18.8660990712074,27.7670278637771,30.1857585139319,96.749226006192
110020,2015,residence,Porto Velho,9093,92,121,136,5,10.1176729352249,13.3069394039371,14.956559991202,54.987352908831
110025,2000,occurrence,Presidente Médici,488,5,5,5,0,10.2459016393443,10.2459016393443,10.2459016393443,0
110025,2000,residence,Presidente Médici,541,13,14,15,0,24.0295748613678,25.8780036968577,27.7264325323475,0
110025,2005,occurrence,Presidente Médici,222,0,2,3,0,0,9.00900900900901,13.5135135135135,0
110025,2005,residence,Presidente Médici,341,2,3,5,0,5.86510263929619,8.79765395894428,14.6627565982405,0
110025,2010,occurrence,Presidente Médici,111,0,2,2,0,0,18.018018018018,18.018018018018,0
110025,2010,residence,Presidente Médici,183,0,3,3,0,0,16.3934426229508,16.3934426229508,0
110025,2015,occurrence,Presidente Médici,10,2,2,2,0,200,200,200,0
110025,2015,residence,Presidente Médici,262,3,5,5,0,11.4503816793893,19.0839694656489,19.0839694656489,0
110026,2000,occurrence,Rio Crespo,6,0,0,0,0,0,0,0,0
110026,2000,residence,Rio Crespo,36,0,0,0,0,0,0,0,0
110026,2005,occurrence,Rio Crespo,2,0,0,0,0,0,0,0,0
110026,2005,residence,Rio Crespo,50,0,0,0,0,0,0,0,0
110026,2010,occurrence,Rio Crespo,0,0,0,0,0,,,,
110026,2010,residence,Rio Crespo,39,0,0,0,0,0,0,0,0
110026,2015,occurrence,Rio Crespo,1,0,0,0,0,0,0,0,0
110026,2015,residence,Rio Crespo,36,0,0,0,0,0,0,0,0
110028,2000,occurrence,Rolim de Moura,1536,24,30,34,0,15.625,19.53125,22.1354166666667,0
110028,2000,residence,Rolim de Moura,1088,18,25,31,0,16.5441176470588,22.9779411764706,28.4926470588235,0
110028,2005,occurrence,Rolim de Moura,1031,4,5,7,0,3.87972841901067,4.84966052376334,6.78952473326867,0
110028,2005,residence,Rolim de Moura,746,11,16,18,0,14.745308310992,21.4477211796247,24.1286863270778,0
110028,2010,occurrence,Rolim de Moura,1396,2,2,2,1,1.43266475644699,1.43266475644699,1.43266475644699,71.6332378223496
110028,2010,residence,Rolim de Moura,793,5,10,12,2,6.30517023959647,12.6103404791929,15.1324085750315,252.206809583859
110028,2015,occurrence,Rolim de Moura,1410,7,8,8,0,4.9645390070922,5.67375886524823,5.67375886524823,0
110028,2015,residence,Rolim de Moura,936,16,23,24,1,17.0940170940171,24.5726495726496,25.6410256410256,106.837606837607
110029,2000,occurrence,Santa Luzia D'Oeste,229,3,4,4,0,13.1004366812227,17.4672489082969,17.4672489082969,0
110029,2000,residence,Santa Luzia D'Oeste,223,5,5,5,0,22.4215246636771,22.4215246636771,22.4215246636771,0
