municipality_code,year,measure_type,live_births,municipality_name
270800,2005,residence,999,Santana do Ipanema
270720,2005,residence,270,Poço das Trincheiras
270610,2005,residence,226,Ouro Branco
270710,2005,residence,462,Piranhas
270500,2005,residence,459,Mata Grande
270160,2005,residence,377,Canapi
270840,2005,residence,692,São José da Tapera
270380,2005,residence,548,Joaquim Gomes
270530,2005,residence,102,Minador do Negrão
270520,2005,residence,337,Messias
270670,2005,residence,1250,Penedo
270680,2005,residence,379,Piaçabuçu
270320,2005,residence,494,Igreja Nova
270270,2005,residence,79,Feliz Deserto
270860,2005,residence,1251,São Miguel dos Campos
270780,2005,residence,205,Roteiro
270020,2005,residence,288,Anadia
270060,2005,residence,147,Barra de São Miguel
270730,2005,residence,546,Porto Calvo
270740,2005,residence,96,Porto de Pedras
270350,2005,residence,121,Jacuípe
270360,2005,residence,159,Japaratinga
270230,2005,residence,1105,Coruripe
270890,2005,residence,178,Satuba
270850,2005,residence,740,São Luís do Quitunde
270210,2005,residence,507,Colônia Leopoldina
270870,2005,residence,83,São Miguel dos Milagres
270390,2005,residence,89,Jundiá
270550,2005,residence,616,Murici
270510,2005,residence,494,Matriz de Camaragibe
270255,2005,residence,273,Estrela de Alagoas
270450,2005,residence,542,Maragogi
270644,2005,residence,187,Paripueira
270480,2005,residence,252,Maribondo
270900,2005,residence,91,Tanque d'Arca
270630,2005,residence,1391,Palmeira dos Índios
270030,2005,residence,4169,Arapiraca
270810,2005,residence,222,Santana do Mundaú
270790,2005,residence,142,Santa Luzia do Norte
270650,2005,residence,316,Passo de Camaragibe
270310,2005,residence,435,Igaci
270220,2005,residence,107,Coqueiro Seco
270560,2005,residence,210,Novo Lino
270280,2005,residence,257,Flexeiras
270420,2005,residence,481,Limoeiro de Anadia
270135,2005,residence,164,Campestre
270300,2005,residence,282,Ibateguara
270930,2005,residence,1330,União dos Palmares
270200,2005,residence,201,Coité do Nóia
270290,2005,residence,746,Girau do Ponciano
270080,2005,residence,106,Belém
270260,2005,residence,355,Feira Grande
270580,2005,residence,157,Olho d'Água do Casado
270235,2005,residence,447,Craíbas
270110,2005,residence,248,Branquinha
270640,2005,residence,491,Pão de Açúcar
270330,2005,residence,428,Inhapi
270240,2005,residence,1111,Delmiro Gouveia
270410,2005,residence,363,Lagoa da Canoa
270620,2005,residence,133,Palestina
270770,2005,occurrence,96,Rio Largo
270920,2005,occurrence,160,Traipu
270460,2005,occurrence,19,Maravilha
270910,2005,occurrence,160,Taquarana
270915,2005,occurrence,434,Teotônio Vilela
270050,2005,occurrence,7,Barra de Santo Antônio
270150,2005,occurrence,12,Campo Grande
270590,2005,occurrence,6,Olho d'Água Grande
270070,2005,occurrence,793,Batalha
270600,2005,occurrence,8,Olivença
270440,2005,occurrence,184,Major Isidoro
270470,2005,occurrence,261,Marechal Deodoro
270940,2005,occurrence,772,Viçosa
270570,2005,occurrence,328,Olho d'Água das Flores
270120,2005,occurrence,113,Cacimbinhas
270040,2005,occurrence,648,Atalaia
270400,2005,occurrence,209,Junqueiro
270690,2005,occurrence,302,Pilar
270820,2005,occurrence,239,São Brás
270010,2005,occurrence,246,Água Branca
270375,2005,occurrence,12,Jequiá da Praia
270895,2005,occurrence,57,Senador Rui Palmeira
270830,2005,occurrence,301,São José da Laje
270800,2005,occurrence,1954,Santana do Ipanema
270840,2005,occurrence,356,São José da Tapera
270380,2005,occurrence,379,Joaquim Gomes
270660,2005,occurrence,75,Paulo Jacinto
270530,2005,occurrence,58,Minador do Negrão
270520,2005,occurrence,79,Messias
270710,2005,occurrence,284,Piranhas
270880,2005,occurrence,231,São Sebastião
270170,2005,occurrence,201,Capela
270670,2005,occurrence,2643,Penedo
270860,2005,occurrence,2226,São Miguel dos Campos
270730,2005,occurrence,249,Porto Calvo
270430,2005,occurrence,22871,Maceió
270550,2005,occurrence,399,Murici
270540,2005,occurrence,2,Monteirópolis
270700,2005,occurrence,7,Pindoba
270200,2005,occurrence,4,Coité do Nóia
270650,2005,occurrence,225,Passo de Camaragibe
270610,2005,occurrence,72,Ouro Branco
270250,2005,occurrence,81,Dois Riachos
270260,2005,occurrence,36,Feira Grande
270420,2005,occurrence,159,Limoeiro de Anadia
270750,2005,occurrence,9,Porto Real do Colégio
270480,2005,occurrence,5,Maribondo
270580,2005,occurrence,69,Olho d'Água do Casado
270100,2005,occurrence,314,Boca da Mata
270290,2005,occurrence,277,Girau do Ponciano
270235,2005,occurrence,157,Craíbas
270780,2005,occurrence,8,Roteiro
270180,2005,occurrence,12,Carneiros
270160,2005,occurrence,185,Canapi
270140,2005,occurrence,168,Campo Alegre
270642,2005,occurrence,10,Pariconha
270740,2005,occurrence,4,Porto de Pedras
270640,2005,occurrence,855,Pão de Açúcar
270190,2005,occurrence,1,Chã Preta
270110,2005,occurrence,5,Branquinha
270020,2005,occurrence,166,Anadia
270080,2005,occurrence,2,Belém
270930,2005,occurrence,2251,União dos Palmares
270510,2005,occurrence,434,Matriz de Camaragibe
270760,2005,occurrence,124,Quebrangulo
270320,2005,occurrence,6,Igreja Nova
270680,2005,occurrence,49,Piaçabuçu
270230,2005,occurrence,1210,Coruripe
270900,2005,occurrence,2,Tanque d'Arca
270135,2005,occurrence,76,Campestre
270090,2005,occurrence,1,Belo Monte
270060,2005,occurrence,3,Barra de São Miguel
270360,2005,occurrence,4,Japaratinga
270410,2005,occurrence,4,Lagoa da Canoa
270810,2005,occurrence,5,Santana do Mundaú
270255,2005,occurrence,2,Estrela de Alagoas
270270,2005,occurrence,1,Feliz Deserto
270390,2005,occurrence,8,Jundiá
270870,2005,occurrence,5,São Miguel dos Milagres
270350,2005,occurrence,2,Jacuípe
270300,2005,occurrence,10,Ibateguara
270630,2005,occurrence,2703,Palmeira dos Índios
270340,2005,occurrence,4,Jacaré dos Homens
270030,2005,occurrence,8673,Arapiraca
270310,2005,occurrence,104,Igaci
270130,2005,occurrence,307,Cajueiro
270560,2005,occurrence,101,Novo Lino
270720,2005,occurrence,17,Poço das Trincheiras
310130,2005,occurrence,5,Alagoa
270240,2005,occurrence,918,Delmiro Gouveia
270500,2005,occurrence,320,Mata Grande
270210,2005,occurrence,328,Colônia Leopoldina
270330,2005,occurrence,273,Inhapi
270790,2005,occurrence,1,Santa Luzia do Norte
270850,2005,occurrence,524,São Luís do Quitunde
270280,2005,occurrence,105,Flexeiras
